"","Project","Country","Date","Site","Latitude","Longitude","Species","Bag_number","Genotype","Cookie_no","Sophie","Condition","Tank_color","Temperature","Pam_value","Timepoint"
"1","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","1-green",39,0.039,420
"2","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","4-yellow",29,0.652,420
"3","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","6-brown",38,0.389,420
"4","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",22,1,19,"AABR1","wild","7-grey",36,0.589,420
"5","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","1-green",39,0.021,420
"6","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","4-yellow",29,0.615,420
"7","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","6-brown",38,0.414,420
"8","ESA","TUT",20260214,1,-14.28361,-170.60696,"AABR",21,2,20,"AABR2","wild","7-grey",36,0.622,420
"9","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","1-green",39,0.089,420
"10","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","4-yellow",29,0.647,420
"11","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","6-brown",38,0.569,420
"12","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",37,1,10,"AGLO1","wild","7-grey",36,0.638,420
"13","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","1-green",39,0.028,420
"14","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","4-yellow",29,0.647,420
"15","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","6-brown",38,0.453,420
"16","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",38,2,11,"AGLO2","wild","7-grey",36,0.558,420
"17","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","1-green",39,0.04,420
"18","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","4-yellow",29,0.635,420
"19","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","6-brown",38,0.442,420
"20","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",23,3,12,"AGLO3","wild","7-grey",36,0.587,420
"21","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","1-green",39,0.062,420
"22","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","4-yellow",29,0.653,420
"23","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","6-brown",38,0.336,420
"24","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",7,4,13,"AGLO4","wild","7-grey",36,0.572,420
"25","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","1-green",39,0.09,420
"26","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","4-yellow",29,0.651,420
"27","ESA","TUT",20260214,1,-14.28361,-170.60696,"AGLO",39,5,14,"AGLO5","wild","6-brown",38,0.471,420
