"ED5","ED50","ED95","GroupingProperty","Site","Species"
37.26,38.16,39.09,"1_AABR_1","1","AABR"
37.46,38.17,38.91,"1_AABR_2","1","AABR"
37.77,38.52,39.29,"1_AGLO_1","1","AGLO"
37.56,38.27,38.99,"1_AGLO_2","1","AGLO"
37.46,38.27,39.09,"1_AGLO_3","1","AGLO"
36.79,38.07,39.39,"1_AGLO_4","1","AGLO"
37.34,38.36,39.41,"1_AGLO_5","1","AGLO"
37.75,38.42,39.09,"1_AGLO_6","1","AGLO"
37.27,38.35,39.46,"1_AGLO_7","1","AGLO"
37.18,38.49,39.85,"1_AGLO_8","1","AGLO"
37.44,38.36,39.3,"1_AGLO_9","1","AGLO"
66.15,72.16,78.73,"1_AHYA_1","1","AHYA"
38.51,38.87,39.23,"1_ICRA_1","1","ICRA"
37.78,38.79,39.83,"1_ICRA_2","1","ICRA"
38.6,38.89,39.18,"1_ICRA_3","1","ICRA"
37.64,38.31,39,"1_ICRA_4","1","ICRA"
37.69,38.62,39.58,"1_ICRA_5","1","ICRA"
37.87,38.14,38.4,"1_ICRA_6","1","ICRA"
37.79,38.03,38.27,"1_ICRA_7","1","ICRA"
37.29,38.35,39.43,"1_ICRA_8","1","ICRA"
36.13,37.83,39.6,"3_AGLO_1","3","AGLO"
35.2,37.71,40.4,"3_AGLO_2","3","AGLO"
36.15,38.1,40.15,"3_AGLO_3","3","AGLO"
36.1,38.16,40.34,"3_AGLO_4","3","AGLO"
36.73,38.48,40.31,"3_AGLO_5","3","AGLO"
34.63,37.28,40.13,"3_AGLO_6","3","AGLO"
36.61,38.04,39.53,"3_AGLO_7","3","AGLO"
35.29,37.77,40.41,"3_AGLO_8","3","AGLO"
34.95,38.06,41.46,"3_ICRA_1","3","ICRA"
34.9,37.78,40.89,"3_ICRA_2","3","ICRA"
36.37,38.07,39.84,"3_ICRA_3","3","ICRA"
36.06,38.43,40.95,"3_ICRA_4","3","ICRA"
36.01,38.2,40.53,"3_ICRA_5","3","ICRA"
37.17,38.11,39.06,"3_ICRA_6","3","ICRA"
35.43,37.78,40.28,"3_ICRA_7","3","ICRA"
35.76,38.43,41.3,"3_ICRA_8","3","ICRA"
36.72,38.3,39.95,"3_AHYA_1","3","AHYA"
36.07,38.03,40.09,"3_AHYA_2","3","AHYA"
35.35,37.61,40.02,"3_AABR_1","3","AABR"
35.48,37.4,39.42,"3_AABR_2","3","AABR"
36.54,38.27,40.09,"4_AHYA_1","4","AHYA"
37.73,38.59,39.46,"4_AHYA_2","4","AHYA"
37.33,38.19,39.08,"4_AABR_1","4","AABR"
37.25,38.39,39.57,"4_AABR_2","4","AABR"
37.39,38.05,38.73,"4_AGLO_1","4","AGLO"
37.52,38.45,39.42,"4_AGLO_2","4","AGLO"
37.72,38.4,39.09,"4_AGLO_3","4","AGLO"
37.75,38.49,39.25,"4_AGLO_4","4","AGLO"
37.39,38.55,39.75,"4_AGLO_5","4","AGLO"
37.87,38.46,39.05,"4_AGLO_6","4","AGLO"
37.04,38.28,39.56,"4_AGLO_7","4","AGLO"
37.69,38.38,39.08,"4_AGLO_8","4","AGLO"
36.97,38.59,40.28,"4_ICRA_1","4","ICRA"
