"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.49,38.06,39.69,"1_AABR_1","1","AABR"
37.43,38.26,39.1,"1_AABR_2","1","AABR"
37.84,38.56,39.29,"1_AGLO_1","1","AGLO"
37.56,38.31,39.08,"1_AGLO_2","1","AGLO"
37.4,38.32,39.25,"1_AGLO_3","1","AGLO"
34.93,37.56,40.39,"1_AGLO_4","1","AGLO"
37.28,38.39,39.53,"1_AGLO_5","1","AGLO"
37.87,38.48,39.09,"1_AGLO_6","1","AGLO"
37.26,38.36,39.49,"1_AGLO_7","1","AGLO"
36.96,38.49,40.08,"1_AGLO_8","1","AGLO"
37.43,38.38,39.37,"1_AGLO_9","1","AGLO"
38.18,38.81,39.45,"1_AHYA_1","1","AHYA"
37.75,38.65,39.57,"1_ICRA_1","1","ICRA"
37.9,38.82,39.76,"1_ICRA_2","1","ICRA"
37.78,38.67,39.58,"1_ICRA_3","1","ICRA"
37.72,38.38,39.05,"1_ICRA_4","1","ICRA"
37.71,38.64,39.59,"1_ICRA_5","1","ICRA"
37.75,38.39,39.04,"1_ICRA_6","1","ICRA"
36.11,37.88,39.73,"1_ICRA_7","1","ICRA"
35.85,38.11,40.53,"1_ICRA_8","1","ICRA"
36.43,37.9,39.43,"3_AGLO_1","3","AGLO"
35.88,37.91,40.06,"3_AGLO_2","3","AGLO"
35.72,38.01,40.46,"3_AGLO_3","3","AGLO"
36.25,38.2,40.25,"3_AGLO_4","3","AGLO"
35.94,38.39,41.01,"3_AGLO_5","3","AGLO"
34.36,37.17,40.22,"3_AGLO_6","3","AGLO"
36.64,38.06,39.54,"3_AGLO_7","3","AGLO"
34.53,37.52,40.77,"3_AGLO_8","3","AGLO"
35.51,38.19,41.07,"3_ICRA_1","3","ICRA"
34.99,37.81,40.86,"3_ICRA_2","3","ICRA"
35.68,37.93,40.32,"3_ICRA_3","3","ICRA"
35.99,38.43,41.02,"3_ICRA_4","3","ICRA"
36.16,38.23,40.42,"3_ICRA_5","3","ICRA"
36.74,38.07,39.46,"3_ICRA_6","3","ICRA"
35.3,37.75,40.36,"3_ICRA_7","3","ICRA"
