"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.29,37.87,39.51,"3_AGLO_1","3","AGLO"
36.63,38,39.41,"3_AGLO_2","3","AGLO"
36.44,37.95,39.52,"3_AGLO_3","3","AGLO"
36.19,37.88,39.64,"3_AGLO_4","3","AGLO"
35.63,38.12,40.79,"3_AGLO_5","3","AGLO"
34.81,37.08,39.49,"3_AGLO_6","3","AGLO"
36.07,37.74,39.48,"3_AGLO_7","3","AGLO"
35.88,37.91,40.06,"3_AGLO_8","3","AGLO"
35.56,38.11,40.85,"3_ICRA_1","3","ICRA"
35.33,37.79,40.42,"3_ICRA_2","3","ICRA"
36.24,37.98,39.8,"3_ICRA_3","3","ICRA"
36.27,38.41,40.68,"3_ICRA_4","3","ICRA"
36.33,38.2,40.16,"3_ICRA_5","3","ICRA"
36.71,38.05,39.44,"3_ICRA_6","3","ICRA"
35.82,37.89,40.08,"3_ICRA_7","3","ICRA"
35.9,38.27,40.8,"3_ICRA_8","3","ICRA"
36.64,38.04,39.49,"3_AHYA_1","3","AHYA"
36.06,37.86,39.76,"3_AHYA_2","3","AHYA"
35.88,37.68,39.57,"3_AABR_1","3","AABR"
35.54,37.39,39.35,"3_AABR_2","3","AABR"
36.29,38.38,40.58,"4_AHYA_1","4","AHYA"
37.55,38.58,39.63,"4_AHYA_2","4","AHYA"
36.48,38.14,39.87,"4_AABR_1","4","AABR"
35.62,38.15,40.86,"4_AABR_2","4","AABR"
36.79,37.91,39.05,"4_AGLO_1","4","AGLO"
37.22,38.54,39.91,"4_AGLO_2","4","AGLO"
37.76,38.45,39.16,"4_AGLO_3","4","AGLO"
36.57,38.43,40.39,"4_AGLO_4","4","AGLO"
36.87,38.32,39.82,"4_AGLO_5","4","AGLO"
38.09,38.41,38.73,"4_AGLO_6","4","AGLO"
35.04,38.33,41.94,"4_AGLO_7","4","AGLO"
37.4,38.42,39.46,"4_AGLO_8","4","AGLO"
36.39,38.42,40.56,"4_ICRA_1","4","ICRA"
36.59,38.33,40.14,"4_ICRA_2","4","ICRA"
37.52,38.54,39.58,"4_ICRA_3","4","ICRA"
36.75,38.34,40,"4_ICRA_4","4","ICRA"
36.73,38.66,40.69,"4_ICRA_5","4","ICRA"
37.46,38.33,39.22,"4_ICRA_6","4","ICRA"
37.28,38.52,39.8,"4_ICRA_7","4","ICRA"
37.69,38.7,39.73,"4_ICRA_8","4","ICRA"
36.08,37.7,39.39,"5_AHYA_1","5","AHYA"
36.18,37.92,39.75,"5_AHYA_2","5","AHYA"
35.96,37.5,39.1,"5_AABR_1","5","AABR"
35.57,37.47,39.48,"5_AABR_2","5","AABR"
36.38,38.36,40.45,"5_ICRA_1","5","ICRA"
35.57,37.78,40.12,"5_ICRA_2","5","ICRA"
36.4,38.38,40.47,"5_ICRA_3","5","ICRA"
36.14,38.05,40.06,"5_ICRA_4","5","ICRA"
34.89,37.91,41.19,"5_ICRA_5","5","ICRA"
36.38,37.89,39.47,"5_ICRA_6","5","ICRA"
35.5,38.07,40.83,"5_ICRA_7","5","ICRA"
36.48,37.81,39.2,"5_ICRA_8","5","ICRA"
36.15,37.99,39.92,"5_ICRA_9","5","ICRA"
36.37,38.06,39.83,"5_ICRA_10","5","ICRA"
36.06,37.62,39.26,"5_ICRA_11","5","ICRA"
36.49,37.97,39.51,"5_ICRA_12","5","ICRA"
36.45,38.58,40.83,"5_ICRA_13","5","ICRA"
36.56,38.53,40.6,"5_ICRA_14","5","ICRA"
36.47,38.14,39.9,"5_ICRA_15","5","ICRA"
