"ED5","ED50","ED95","Site","Species","Genotype","Dataset"
37.26,38.16,39.09,"1","AABR","1","Classic"
37.46,38.17,38.91,"1","AABR","2","Classic"
37.77,38.52,39.29,"1","AGLO","1","Classic"
37.56,38.27,38.99,"1","AGLO","2","Classic"
37.46,38.27,39.09,"1","AGLO","3","Classic"
36.79,38.07,39.39,"1","AGLO","4","Classic"
37.34,38.36,39.41,"1","AGLO","5","Classic"
37.75,38.42,39.09,"1","AGLO","6","Classic"
37.27,38.35,39.46,"1","AGLO","7","Classic"
37.18,38.49,39.85,"1","AGLO","8","Classic"
37.44,38.36,39.3,"1","AGLO","9","Classic"
66.15,72.16,78.73,"1","AHYA","1","Classic"
38.51,38.87,39.23,"1","ICRA","1","Classic"
37.78,38.79,39.83,"1","ICRA","2","Classic"
38.6,38.89,39.18,"1","ICRA","3","Classic"
37.64,38.31,39,"1","ICRA","4","Classic"
37.69,38.62,39.58,"1","ICRA","5","Classic"
37.87,38.14,38.4,"1","ICRA","6","Classic"
37.79,38.03,38.27,"1","ICRA","7","Classic"
37.29,38.35,39.43,"1","ICRA","8","Classic"
36.13,37.83,39.6,"3","AGLO","1","Classic"
35.2,37.71,40.4,"3","AGLO","2","Classic"
36.15,38.1,40.15,"3","AGLO","3","Classic"
36.1,38.16,40.34,"3","AGLO","4","Classic"
36.73,38.48,40.31,"3","AGLO","5","Classic"
34.63,37.28,40.13,"3","AGLO","6","Classic"
36.61,38.04,39.53,"3","AGLO","7","Classic"
35.29,37.77,40.41,"3","AGLO","8","Classic"
34.95,38.06,41.46,"3","ICRA","1","Classic"
34.9,37.78,40.89,"3","ICRA","2","Classic"
36.37,38.07,39.84,"3","ICRA","3","Classic"
36.06,38.43,40.95,"3","ICRA","4","Classic"
36.01,38.2,40.53,"3","ICRA","5","Classic"
37.17,38.11,39.06,"3","ICRA","6","Classic"
35.43,37.78,40.28,"3","ICRA","7","Classic"
35.76,38.43,41.3,"3","ICRA","8","Classic"
36.72,38.3,39.95,"3","AHYA","1","Classic"
36.07,38.03,40.09,"3","AHYA","2","Classic"
35.35,37.61,40.02,"3","AABR","1","Classic"
35.48,37.4,39.42,"3","AABR","2","Classic"
36.54,38.27,40.09,"4","AHYA","1","Classic"
