"ED5","ED50","ED95","GroupingProperty","Site","Species"
36.29,38.38,40.58,"4_AHYA_1","4","AHYA"
37.55,38.58,39.63,"4_AHYA_2","4","AHYA"
36.48,38.14,39.87,"4_AABR_1","4","AABR"
35.62,38.15,40.86,"4_AABR_2","4","AABR"
36.79,37.91,39.05,"4_AGLO_1","4","AGLO"
37.22,38.54,39.91,"4_AGLO_2","4","AGLO"
37.76,38.45,39.16,"4_AGLO_3","4","AGLO"
36.57,38.43,40.39,"4_AGLO_4","4","AGLO"
36.87,38.32,39.82,"4_AGLO_5","4","AGLO"
38.09,38.41,38.73,"4_AGLO_6","4","AGLO"
35.04,38.33,41.94,"4_AGLO_7","4","AGLO"
37.4,38.42,39.46,"4_AGLO_8","4","AGLO"
36.39,38.42,40.56,"4_ICRA_1","4","ICRA"
36.59,38.33,40.14,"4_ICRA_2","4","ICRA"
37.52,38.54,39.58,"4_ICRA_3","4","ICRA"
36.75,38.34,40,"4_ICRA_4","4","ICRA"
36.73,38.66,40.69,"4_ICRA_5","4","ICRA"
37.46,38.33,39.22,"4_ICRA_6","4","ICRA"
37.28,38.52,39.8,"4_ICRA_7","4","ICRA"
37.69,38.7,39.73,"4_ICRA_8","4","ICRA"
