Project,Country,Date,Site,Latitude,Longitude,Species,Bag_number,Genotype,Cookie_no,Sophie,Condition,Tank_color,Temperature,PAM1,PAM2,Pam_value,comments,Timepoint
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,1-green,35,,,0.623,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,1-green,35,,,0.634,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,1-green,35,0.602,0.613,0.613,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,1-green,35,0.39,0.457,0.457,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,1-green,35,,,0.608,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,1-green,35,,,0.623,MAKE SURE TO PAM RIGHT SIDE ON ALL!,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,1-green,35,,,0.643,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,1-green,35,,,0.63,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,1-green,35,,,0.627,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,1-green,35,,,0.64,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,1-green,35,,,0.56,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,1-green,35,,,0.561,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,1-green,35,,,0.545,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,1-green,35,,,0.512,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,1-green,35,,,0.57,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,1-green,35,,,0.584,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,1-green,35,,,0.59,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,1-green,35,,,0.583,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,1-green,35,,,0.58,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,1-green,35,,,0.599,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,2-blue,36,,,0.625,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,2-blue,36,,,0.619,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,2-blue,36,0.574,0.575,0.575,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,2-blue,36,0.583,0.59,0.59,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,2-blue,36,,,0.601,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,2-blue,36,,,0.606,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,2-blue,36,,,0.586,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,2-blue,36,,,0.643,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,2-blue,36,,,0.524,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,2-blue,36,,,0.56,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,2-blue,36,,,0.528,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,2-blue,36,,,0.507,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,2-blue,36,,,0.508,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,2-blue,36,,,0.501,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,2-blue,36,,,0.526,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,2-blue,36,,,0.493,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,2-blue,36,,,0.612,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,2-blue,36,,,0.56,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,2-blue,36,,,0.547,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,2-blue,36,,,0.566,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,3-red,37.5,,,0.477,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,3-red,37.5,,,0.439,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,3-red,37.5,0.28,0.312,0.312,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,3-red,37.5,0.215,0.252,0.252,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,3-red,37.5,,,0.403,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,3-red,37.5,,,0.371,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,3-red,37.5,,,0.293,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,22,4,8,AGLO4,wild,3-red,37.5,,,0.318,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,21,5,9,AGLO5,wild,3-red,37.5,,,0.483,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,13,6,10,AGLO6,wild,3-red,37.5,,,0.349,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,6,1,11,ICRA1,wild,3-red,37.5,,,0.308,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,36,2,12,ICRA2,wild,3-red,37.5,,,0.269,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,23,3,13,ICRA3,wild,3-red,37.5,,,0.264,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,2,4,14,ICRA4,wild,3-red,37.5,,,0.334,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,3,5,15,ICRA5,wild,3-red,37.5,,,0.394,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,38,6,16,ICRA6,wild,3-red,37.5,,,0.403,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,5,7,17,ICRA7,wild,3-red,37.5,,,0.389,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,37,8,18,ICRA8,wild,3-red,37.5,,,0.349,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,39,9,19,ICRA9,wild,3-red,37.5,,,0.374,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,ICRA,24,10,20,ICRA10,wild,3-red,37.5,,,0.409,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,35,1,1,AHYA1,wild,4-yellow,38,,,0.46,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AHYA,33,2,2,AHYA2,wild,4-yellow,38,,,0.36,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,31,1,3,AABR1,wild,4-yellow,38,0.275,0.248,0.248,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AABR,32,2,4,AABR2,wild,4-yellow,38,0.219,0.231,0.231,bottom/ top,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,11,1,5,AGLO1,wild,4-yellow,38,,,0.342,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,12,2,6,AGLO2,wild,4-yellow,38,,,0.374,,420
ESA,TUT,2172026,10,-14.27898,-170.5863,AGLO,14,3,7,AGLO3,wild,4-yellow,38,,,0.343,,420
