"","GroupingProperty","Species","Site","Tank_color","Size_cm","Partial_mortality","Colony_depth_ft","ED50","ED5","ED95","DW","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8"
"1","1_AABR_1","AABR",1,"1-green",105,10,41,38.05,36.46,39.71,3.25,1,1,1,1,1
"2","1_AABR_2","AABR",1,"1-green",103,20,33,38.24,37.35,39.16,1.81,1,2,2,2,2
"3","1_AGLO_1","AGLO",1,"1-green",27,0,30,38.54,37.79,39.3,1.51,1,1,1,1,1
"4","1_AGLO_2","AGLO",1,"1-green",28,0,32,38.31,37.54,39.09,1.55,1,1,1,1,1
"5","1_AGLO_3","AGLO",1,"1-green",50,10,34,38.3,37.31,39.31,2,1,2,2,2,2
"6","1_AGLO_4","AGLO",1,"1-green",81,0,36,37.67,35.17,40.34,5.17,1,1,1,1,1
"7","1_AGLO_5","AGLO",1,"1-green",40,25,30,38.38,37.25,39.54,2.29,1,2,2,2,2
"8","1_AGLO_6","AGLO",1,"1-green",34,10,30,38.47,37.85,39.1,1.25,1,2,2,2,2
"9","1_AGLO_7","AGLO",1,"1-green",70,0,33,38.33,37.17,39.52,2.35,1,2,2,2,2
"10","1_AGLO_8","AGLO",1,"1-green",48,3,36,38.48,36.92,40.1,3.18,1,1,1,1,1
"11","1_AGLO_9","AGLO",1,"1-green",48,7,33,38.38,37.39,39.38,1.99,1,2,2,2,2
"12","1_AHYA_1","AHYA",1,"1-green",30,0,32,38.75,37.96,39.56,1.6,1,2,2,2,2
"13","1_ICRA_1","ICRA",1,"1-green",48,15,36,38.65,37.72,39.59,1.87,2,3,3,3,3
"14","1_ICRA_2","ICRA",1,"1-green",70,70,31,38.81,37.85,39.8,1.95,2,3,3,3,3
"15","1_ICRA_3","ICRA",1,"1-green",35,1,38,38.65,37.75,39.58,1.83,2,3,3,3,3
"16","1_ICRA_4","ICRA",1,"1-green",49,55,35,38.36,37.59,39.14,1.55,3,4,4,4,4
"17","1_ICRA_5","ICRA",1,"1-green",50,2,38,38.63,37.67,39.61,1.94,2,3,3,3,3
"18","1_ICRA_6","ICRA",1,"1-green",37,1,34,38.37,37.73,39.02,1.29000000000001,3,4,4,4,4
"19","1_ICRA_7","ICRA",1,"1-green",65,65,35,37.86,36.05,39.76,3.71,3,4,4,4,4
"20","1_ICRA_8","ICRA",1,"1-green",70,40,35,38.09,35.76,40.58,4.82,2,3,3,3,3
"21","3_AGLO_1","AGLO",3,"1-green",45,5,31,37.87,36.29,39.51,3.22,1,2,2,2,2
"22","3_AGLO_2","AGLO",3,"1-green",27,0,37,38,36.63,39.41,2.77999999999999,1,1,1,1,1
"23","3_AGLO_3","AGLO",3,"1-green",81,35,30,37.95,36.44,39.52,3.08000000000001,3,4,4,5,5
"24","3_AGLO_4","AGLO",3,"1-green",48,1,40,37.88,36.19,39.64,3.45,1,1,1,1,1
"25","3_AGLO_5","AGLO",3,"1-green",39,25,31,38.12,35.63,40.79,5.16,1,2,2,2,2
"26","3_AGLO_6","AGLO",3,"1-green",36,6,36,37.08,34.81,39.49,4.68,1,2,2,2,2
"27","3_AGLO_7","AGLO",3,"1-green",46,15,31,37.74,36.07,39.48,3.41,1,1,1,1,1
"28","3_AGLO_8","AGLO",3,"1-green",44,5,30,37.91,35.88,40.06,4.18,1,1,1,1,1
"29","3_ICRA_1","ICRA",3,"1-green",49,70,38,38.11,35.56,40.85,5.29,2,3,3,3,3
"30","3_ICRA_2","ICRA",3,"1-green",40,5,37,37.79,35.33,40.42,5.09,2,3,6,7,8
"31","3_ICRA_3","ICRA",3,"1-green",32,3,37,37.98,36.24,39.8,3.56,2,3,6,7,8
"32","3_ICRA_4","ICRA",3,"1-green",50,65,33,38.41,36.27,40.68,4.41,2,3,6,7,8
"33","3_ICRA_5","ICRA",3,"1-green",47,50,34,38.2,36.33,40.16,3.83,2,3,6,7,8
"34","3_ICRA_6","ICRA",3,"1-green",82,70,33,38.05,36.71,39.44,2.73,2,3,6,7,8
"35","3_ICRA_7","ICRA",3,"1-green",43,30,39,37.89,35.82,40.08,4.26,3,4,4,4,4
"36","3_ICRA_8","ICRA",3,"1-green",18,2,31,38.27,35.9,40.8,4.9,2,3,6,7,8
"37","3_AHYA_1","AHYA",3,"1-green",72,0,36,38.04,36.64,39.49,2.85,1,1,1,1,1
"38","3_AHYA_2","AHYA",3,"1-green",60,20,31,37.86,36.06,39.76,3.7,1,2,2,2,2
"39","3_AABR_1","AABR",3,"1-green",73,0,40,37.68,35.88,39.57,3.69,1,1,1,1,1
"40","3_AABR_2","AABR",3,"1-green",127,0,36,37.39,35.54,39.35,3.81,1,1,1,1,1
"41","4_AHYA_1","AHYA",4,"1-green",27,5,38,38.38,36.29,40.58,4.29,1,2,2,2,2
"42","4_AHYA_2","AHYA",4,"1-green",45,10,37,38.58,37.55,39.63,2.08000000000001,1,2,2,2,2
